,birth_date,birth_place,death_date,education,gender,occupation,viaf,wkp
179,0572-02-07T00:00:00Z,,0622-04-11T00:00:00Z,,male,politician,54960657,Q263972
180,1730-06-21T00:00:00Z,Matsusaka,1801-10-05T00:00:00Z,,male,poet,19686423,Q384647
181,1118-01-01T00:00:00Z,Kyoto,1190-01-01T00:00:00Z,,male,poet,2539442,Q224689
182,1745-11-29T00:00:00Z,,1833-03-06T00:00:00Z,,male,,70249633,Q8013051
183,1533-10-22T00:00:00Z,Fukui Prefecture,1573-10-16T00:00:00Z,,male,politician,40714819,Q1322768
184,1234-01-01T00:00:00Z,Japan,1289-01-01T00:00:00Z,,male,bhikkhuni,28407194,Q1056232
185,0976-01-01T00:00:00Z,Echizen Province,1033-01-01T00:00:00Z,,female,poet,79397628,Q239898
186,1561-02-08T00:00:00Z,Q11605947,1619-10-19T00:00:00Z,,male,philosopher,25407659,Q655390
187,1801-06-23T00:00:00Z,Nirayama Daikansho,1855-03-01T00:00:00Z,,male,samurai,67875776,Q366267
188,1793-10-20T00:00:00Z,Q17215107,1841-11-23T00:00:00Z,,male,painter,96574339,Q3130609
189,1847-08-23T00:00:00Z,Kagoshima Prefecture,1889-02-12T00:00:00Z,University College London,male,diplomat,37680159,Q1194472
190,1127-10-18T00:00:00Z,Kyoto,1192-04-26T00:00:00Z,,male,,49653585,Q317984
191,1782-05-22T00:00:00Z,Mameda,1856-11-28T00:00:00Z,,male,poet,20493520,Q1620267
192,1776-03-24T00:00:00Z,Kagoshima,1849-01-13T00:00:00Z,,male,samurai,31926796,Q2814495
193,1828-04-26T00:00:00Z,Chiba Prefecture,1902-08-18T00:00:00Z,,male,politician,47602715,Q3022461
194,0767-09-15T00:00:00Z,?mi Province,0822-06-26T00:00:00Z,,male,bhikkhu,19909768,Q449943
195,1865-01-23T00:00:00Z,Asakusa,1917-03-15T00:00:00Z,Azabu High School,male,critic,2645375,Q11470965
196,0942-01-01T00:00:00Z,,1017-07-18T00:00:00Z,,male,bhikkhu,52770407,Q1009263
197,0793-01-01T00:00:00Z,Shimotsuke Province,0864-02-24T00:00:00Z,,male,priest,284701464,Q732282
